exp_name,reopen,delay,capacity_multiplier,rollback,n.val,mean,median,q5,q95
20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,50perc,1daysdelay,0.2,weak (20%),2,47.8801431127003,47.8801431127003,4.78801431127003,90.9722719141306
20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,50perc,1daysdelay,0.4,weak (20%),4,54.9910554561723,55.9391771019678,46.5053667262982,62.1493738819326
20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,50perc,1daysdelay,0.6,weak (20%),17,39.4864779543302,37.9248658318431,5.68872987477978,74.1431127012543
20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,50perc,1daysdelay,0.8,weak (20%),43,32.8535174938637,31.2880143112689,0.474060822898316,85.8998211091235
20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,50perc,1daysdelay,1,weak (20%),50,50.7624329159212,52.1466905187843,25.504472271915,78.6466905187833
20210517_IL_localeEMS_11_50perc_1daysdelay_pr4_triggeredrollback_reopen,50perc,1daysdelay,0.8,moderate (40%),33,10.3144142679026,10.4293381037563,0.948121645796078,24.0822898032196
20210517_IL_localeEMS_11_50perc_1daysdelay_pr4_triggeredrollback_reopen,50perc,1daysdelay,1,moderate (40%),50,25.5803220035778,25.5992844364958,15.1699463327352,35.0805008944553
20210517_IL_localeEMS_11_50perc_1daysdelay_pr6_triggeredrollback_reopen,50perc,1daysdelay,0.8,strong (60%),25,6.06797853309479,5.68872987477868,0,14.6010733452594
20210517_IL_localeEMS_11_50perc_1daysdelay_pr6_triggeredrollback_reopen,50perc,1daysdelay,1,strong (60%),50,18.1849731663687,18.014311270126,12.3255813953474,24.6511627907002
20210517_IL_localeEMS_11_50perc_1daysdelay_pr8_triggeredrollback_reopen,50perc,1daysdelay,0.8,very strong (80%),20,4.36135957066149,4.74060822897901,0,8.72271914132174
20210517_IL_localeEMS_11_50perc_1daysdelay_pr8_triggeredrollback_reopen,50perc,1daysdelay,1,very strong (80%),50,15.2268336314849,15.1699463327395,9.90787119856877,20.4320214669046
20210517_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.2,weak (20%),2,47.8801431127003,47.8801431127003,4.78801431127003,90.9722719141306
20210517_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.4,weak (20%),4,54.9910554561723,55.9391771019678,46.5053667262982,62.1493738819326
20210517_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.6,weak (20%),18,40.9799244682966,38.3989266547395,5.92576028622908,73.8586762075157
20210517_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.8,weak (20%),43,37.0208428672462,32.2361359570672,4.74060822898315,85.8998211091235
20210517_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,1,weak (20%),50,50.7813953488369,52.1466905187843,27.4007155635058,83.5295169946328
20210517_IL_localeEMS_11_50perc_7daysdelay_pr4_triggeredrollback_reopen,50perc,7daysdelay,0.8,moderate (40%),31,10.2152461192222,10.4293381037563,0.948121645795526,24.6511627906989
20210517_IL_localeEMS_11_50perc_7daysdelay_pr4_triggeredrollback_reopen,50perc,7daysdelay,1,moderate (40%),50,26.0354203935597,25.5992844364944,15.5966010733432,35.0805008944553
20210517_IL_localeEMS_11_50perc_7daysdelay_pr6_triggeredrollback_reopen,50perc,7daysdelay,0.8,strong (60%),24,5.49120453190219,5.68872987477316,0,14.7432915921283
20210517_IL_localeEMS_11_50perc_7daysdelay_pr6_triggeredrollback_reopen,50perc,7daysdelay,1,strong (60%),50,18.2039355992846,18.014311270126,12.3255813953474,24.6511627907002
20210517_IL_localeEMS_11_50perc_7daysdelay_pr8_triggeredrollback_reopen,50perc,7daysdelay,0.8,very strong (80%),20,4.26654740608221,4.74060822897901,0,8.72271914132174
20210517_IL_localeEMS_11_50perc_7daysdelay_pr8_triggeredrollback_reopen,50perc,7daysdelay,1,very strong (80%),50,15.1320214669054,15.1699463327395,9.90787119856877,20.4320214669046
