time_since_trigger,rollback,capacity_multiplier,n.val,mean,median,q5,q95,time_since_trigger_wks
-13,pr2,0.6,50,1.10143063636148,1.10005107570733,1.07050601503102,1.13199034069023,-1.85714285714286
-13,pr4,0.6,50,1.09983025329311,1.10178131822826,1.06563155594206,1.13526584321981,-1.85714285714286
-13,pr6,0.6,50,1.09476414989349,1.09566165725003,1.06346797595795,1.12648224144493,-1.85714285714286
-13,pr8,0.6,50,1.10711554668671,1.10828399403633,1.07297033468583,1.14011001253585,-1.85714285714286
-12,pr2,0.6,50,1.09739151124864,1.09713438296904,1.06871434714785,1.12709007313219,-1.71428571428571
-12,pr4,0.6,50,1.09367501422584,1.09660891076947,1.06211126766415,1.12541911807467,-1.71428571428571
-12,pr6,0.6,50,1.08497079532984,1.08629480789077,1.05268113787612,1.11448009509081,-1.71428571428571
-12,pr8,0.6,50,1.09476574962565,1.0967983348729,1.05875990947394,1.1285855032036,-1.71428571428571
-11,pr2,0.6,50,1.09274814563189,1.09462606007388,1.06194305832344,1.12141079884957,-1.57142857142857
-11,pr4,0.6,50,1.08578414023595,1.08963885567276,1.05407216815571,1.11437553581671,-1.57142857142857
-11,pr6,0.6,50,1.07225477845337,1.07431990683514,1.03836784827361,1.10085299493682,-1.57142857142857
-11,pr8,0.6,50,1.07723779984898,1.07729793762117,1.03817263910834,1.104815696188,-1.57142857142857
-10,pr2,0.6,50,1.08727895189645,1.08834833706914,1.05447136322845,1.11630803404184,-1.42857142857143
-10,pr4,0.6,50,1.07574904648715,1.0767406756864,1.0434248093881,1.10121495161934,-1.42857142857143
-10,pr6,0.6,50,1.05603841753586,1.05826385588067,1.02031304965063,1.08452151309637,-1.42857142857143
-10,pr8,0.6,50,1.05361169443014,1.05827282749253,1.01569322102372,1.08236643244923,-1.42857142857143
-9,pr2,0.6,50,1.08080095537227,1.08087264666567,1.0461632191643,1.11103418847086,-1.28571428571429
-9,pr4,0.6,50,1.06346210547263,1.06278831891582,1.03189198315797,1.08874425166771,-1.28571428571429
-9,pr6,0.6,50,1.03618707538241,1.03954524344653,1.00049299639354,1.06541581440064,-1.28571428571429
-9,pr8,0.6,50,1.02352094509725,1.02322794334877,0.98431526229815,1.05438432968074,-1.28571428571429
-8,pr2,0.6,50,1.07339155072858,1.07412423649671,1.03732581445676,1.10318791412111,-1.14285714285714
-8,pr4,0.6,50,1.04898268196487,1.04975214019912,1.02124447865986,1.07493798377811,-1.14285714285714
-8,pr6,0.6,50,1.01292672502289,1.01349729897685,0.97612874587905,1.04592792759833,-1.14285714285714
-8,pr8,0.6,50,0.987451226301729,0.98770333038293,0.946192795802187,1.02477032923598,-1.14285714285714
-7,pr2,0.6,50,1.06512610853947,1.06558166318154,1.0287500609597,1.0986067042565,-1
-7,pr4,0.6,50,1.032683195981,1.03298522408767,1.00367391271477,1.06255910750483,-1
-7,pr6,0.6,50,0.98695076523444,0.987863110072325,0.949810614960802,1.02451718289991,-1
-7,pr8,0.6,50,0.946605255466256,0.942769938145649,0.907317392105049,0.987775635578881,-1
-6,pr2,0.6,50,1.05620955217027,1.05829506793848,1.02003463386276,1.09323523459084,-0.857142857142857
-6,pr4,0.6,50,1.0151631590943,1.01479789917954,0.984069408725619,1.04907747484976,-0.857142857142857
-6,pr6,0.6,50,0.959159677172483,0.956175620684431,0.924711917131549,1.00047956415429,-0.857142857142857
-6,pr8,0.6,50,0.902583566327989,0.898572963861059,0.859427866088687,0.947635470320772,-0.857142857142857
-5,pr2,0.6,50,1.04692735605103,1.04965055287623,1.01169088562757,1.08503134197551,-0.714285714285714
-5,pr4,0.6,50,0.997087076138309,0.99646330402289,0.966381474471338,1.03394808326227,-0.714285714285714
-5,pr6,0.6,50,0.930611572005964,0.927164149987233,0.895000565880192,0.97455020078951,-0.714285714285714
-5,pr8,0.6,50,0.857073077386093,0.853400762466018,0.811736021035938,0.904861331694432,-0.714285714285714
-4,pr2,0.6,50,1.03755505689082,1.03778038221937,1.00185170799325,1.07476899023421,-0.571428571428571
-4,pr4,0.6,50,0.979128724230632,0.977356938713392,0.947968064234241,1.01830831635703,-0.571428571428571
-4,pr6,0.6,50,0.902330160376212,0.89849363087114,0.86542429859762,0.947900853851788,-0.571428571428571
-4,pr8,0.6,50,0.811579925436753,0.806809751025376,0.761142699289093,0.861081678489701,-0.571428571428571
-3,pr2,0.6,50,1.02836534400715,1.02700126066381,0.993082792530749,1.06506313405032,-0.428571428571429
-3,pr4,0.6,50,0.961786364557628,0.959323156603842,0.92985145398393,1.00223825426189,-0.428571428571429
-3,pr6,0.6,50,0.87504194823275,0.870456469297917,0.836974419243067,0.921071185452882,-0.428571428571429
-3,pr8,0.6,50,0.767146498019933,0.761666192401491,0.71467055750935,0.81781341351291,-0.428571428571429
-2,pr2,0.6,50,1.01962563661375,1.01763705286923,0.986462029356451,1.05521115416635,-0.285714285714286
-2,pr4,0.6,50,0.945445820020068,0.941875814028325,0.913119610609616,0.986199302724541,-0.285714285714286
-2,pr6,0.6,50,0.849234513836766,0.843964403711796,0.811214863756966,0.89489165716669,-0.285714285714286
-2,pr8,0.6,50,0.724430879419797,0.717191627007764,0.671321347334127,0.777123915184923,-0.285714285714286
-1,pr2,0.6,50,1.0115196255988,1.00891188721193,0.978754569536705,1.04510075156619,-0.142857142857143
-1,pr4,0.6,50,0.93031814418831,0.92421128472968,0.897117840346511,0.971132008897902,-0.142857142857143
-1,pr6,0.6,50,0.825129298061649,0.818980485146564,0.78733515807102,0.869855194696345,-0.142857142857143
