capacity_multiplier,reopen,rollback,n.val,mean,median,q5,q95
0,100perc,pr0,109,1658.44036697248,1629,1094.4,2219
0.6,100perc,pr2,88,1080.81818181818,1056,668.5,1582.25
0.6,100perc,pr4,95,643.642105263158,628,473,787.2
0.6,100perc,pr6,95,542.263157894737,541,448.8,635.6
0.6,100perc,pr8,90,503.366666666667,499.5,437,580.4
