time_since_trigger,rollback,capacity_multiplier,n.val,mean,median,q5,q95,time_since_trigger_wks
-13,pr2,0.6,70,1.09808758927411,1.09989517018679,1.05464184646779,1.13296301377488,-1.85714285714286
-13,pr4,0.6,73,1.09158497794509,1.09420601454544,1.04726405763171,1.12543892475594,-1.85714285714286
-13,pr6,0.6,67,1.08844560592461,1.09106558832046,1.04373595687219,1.12558122167502,-1.85714285714286
-13,pr8,0.6,69,1.10149998598428,1.10216823611638,1.0568423241099,1.13733860400966,-1.85714285714286
-12,pr2,0.6,70,1.09426030950677,1.09787144275705,1.0499723042869,1.12807059891391,-1.71428571428571
-12,pr4,0.6,73,1.08501010353504,1.08665962313101,1.0408121501412,1.1175596228046,-1.71428571428571
-12,pr6,0.6,67,1.07839075015169,1.07856063457816,1.03397935254204,1.11223388537698,-1.71428571428571
-12,pr8,0.6,69,1.08870730778858,1.09038140699815,1.0436224285504,1.12344341496429,-1.71428571428571
-11,pr2,0.6,70,1.089442852047,1.09088245306654,1.04554639748142,1.12365821435491,-1.57142857142857
-11,pr4,0.6,73,1.07653742280366,1.08022238084863,1.03389541481678,1.10818325559887,-1.57142857142857
-11,pr6,0.6,67,1.06523816752877,1.06499745962381,1.02245984838115,1.09890650850564,-1.57142857142857
-11,pr8,0.6,69,1.07066162554779,1.07555316699845,1.02943934875039,1.10233315863127,-1.57142857142857
-10,pr2,0.6,70,1.08344041720405,1.08352114334177,1.04404603911952,1.11583042649382,-1.42857142857143
-10,pr4,0.6,73,1.06574983672281,1.06797512340307,1.02573418119397,1.09819004602653,-1.42857142857143
-10,pr6,0.6,67,1.04844634797437,1.04880499831341,1.00894452157065,1.08389683855947,-1.42857142857143
-10,pr8,0.6,69,1.04630254975177,1.04625659501536,1.00953515820196,1.08352900817165,-1.42857142857143
-9,pr2,0.6,70,1.07617848843185,1.07812331434567,1.0385373868835,1.10873294680989,-1.28571428571429
-9,pr4,0.6,73,1.05258965813322,1.05116094500738,1.01580480780738,1.08685199101405,-1.28571428571429
