capacity_multiplier,reopen,rollback,n.val,mean,median,q5,q95
0,50perc,pr0,103,664.485436893204,651,426.1,928.6
0.6,50perc,pr2,70,476.057142857143,468.5,382.5,592.2
0.6,50perc,pr4,73,406.520547945205,406,353.2,465.6
0.6,50perc,pr6,67,390.611940298508,389,346.3,443.4
0.6,50perc,pr8,70,383.971428571429,383,345.45,436.65
