time_since_trigger,rollback,capacity_multiplier,n.val,mean,median,q5,q95,time_since_trigger_wks
-13,pr2,0.6,88,1.22864011336683,1.226281581263,1.17885243912149,1.28597064337844,-1.85714285714286
-13,pr4,0.6,95,1.22531113561369,1.22690583500156,1.17257104869621,1.28020003936927,-1.85714285714286
-13,pr6,0.6,95,1.22255315315939,1.22309689242974,1.17321923924267,1.27955936627232,-1.85714285714286
-13,pr8,0.6,90,1.23825732868606,1.23680276348861,1.18877209974592,1.29922867005985,-1.85714285714286
-12,pr2,0.6,88,1.22281384333502,1.22136141911123,1.17161749230096,1.27443390298308,-1.71428571428571
-12,pr4,0.6,95,1.21579841173732,1.21375127420397,1.16294130298446,1.26353111712517,-1.71428571428571
-12,pr6,0.6,95,1.20915251526124,1.20667827926118,1.15684471410119,1.26018558934939,-1.71428571428571
-12,pr8,0.6,90,1.22210133272356,1.22136372929407,1.16769128393101,1.27122864655707,-1.71428571428571
-11,pr2,0.6,88,1.2156659217231,1.21702853904445,1.16338760482729,1.26094204380193,-1.57142857142857
-11,pr4,0.6,95,1.20354964463444,1.20483380713868,1.15022771754756,1.2448432460033,-1.57142857142857
-11,pr6,0.6,95,1.19137003587802,1.19214380386493,1.13972787332324,1.23287953014354,-1.57142857142857
-11,pr8,0.6,90,1.19863103364387,1.20202395566803,1.13906128003775,1.24321574966709,-1.57142857142857
-10,pr2,0.6,88,1.20686072491628,1.20764392974276,1.15218695004646,1.24720071719699,-1.42857142857143
-10,pr4,0.6,95,1.18806769185601,1.18999605328474,1.133630023742,1.22718355040498,-1.42857142857143
-10,pr6,0.6,95,1.16847648830665,1.17321508278862,1.11378070283234,1.2077778838816,-1.42857142857143
-10,pr8,0.6,90,1.16665615311737,1.17534321842283,1.10147237662971,1.2106185310703,-1.42857142857143
-9,pr2,0.6,88,1.19629438424166,1.19848204208418,1.1407061479859,1.23584837501279,-1.28571428571429
-9,pr4,0.6,95,1.16928167771668,1.17246457293426,1.11198009371871,1.21010615816464,-1.28571428571429
-9,pr6,0.6,95,1.14042536703462,1.14627333379049,1.08155459465776,1.18552444957748,-1.28571428571429
-9,pr8,0.6,90,1.1262145379832,1.13204922884852,1.05512951091761,1.17643492748825,-1.28571428571429
-8,pr2,0.6,88,1.18422529253183,1.18680747565922,1.12664528216776,1.22733903017669,-1.14285714285714
-8,pr4,0.6,95,1.14765255830336,1.15324879323835,1.08759816976904,1.18964083252245,-1.14285714285714
-8,pr6,0.6,95,1.10801761391008,1.11314184050666,1.04872000638854,1.15295944623428,-1.14285714285714
