exp_name,reopen,delay,capacity_multiplier,rollback,n.val,mean,median,q5,q95
20210527_IL_localeEMS_11_100perc_7daysdelay_pr4_triggeredrollback_reopen,100perc,7daysdelay,0.4,moderate (40%),80,42.4521466905186,43.6135957066191,0.948121645798286,79.6422182468711
20210527_IL_localeEMS_11_100perc_7daysdelay_pr4_triggeredrollback_reopen,100perc,7daysdelay,0.6,moderate (40%),90,49.3339296362551,50.7245080500883,16.9713774597494,75.4230769230783
20210527_IL_localeEMS_11_100perc_7daysdelay_pr4_triggeredrollback_reopen,100perc,7daysdelay,0.8,moderate (40%),97,55.616620253398,56.8872987477675,34.701252236135,75.0912343470498
20210527_IL_localeEMS_11_100perc_7daysdelay_pr4_triggeredrollback_reopen,100perc,7daysdelay,1,moderate (40%),91,57.9083528278518,58.7835420393558,37.9248658318417,74.9016100178907
20210528_IL_localeEMS_11_100perc_7daysdelay_pr6_triggeredrollback_reopen,100perc,7daysdelay,0.4,strong (60%),51,11.8422252621978,11.3774597495546,0,21.8067978533095
20210528_IL_localeEMS_11_100perc_7daysdelay_pr6_triggeredrollback_reopen,100perc,7daysdelay,0.6,strong (60%),95,23.3836738536858,24.6511627906947,6.35241502683279,34.1323792486583
20210528_IL_localeEMS_11_100perc_7daysdelay_pr6_triggeredrollback_reopen,100perc,7daysdelay,0.8,strong (60%),98,34.2678251980578,35.080500894451,22.7549194991084,42.8076923076924
20210528_IL_localeEMS_11_100perc_7daysdelay_pr6_triggeredrollback_reopen,100perc,7daysdelay,1,strong (60%),96,40.4531902206323,40.2951699463333,32.2361359570638,49.3023255813957
20210528_IL_localeEMS_11_100perc_7daysdelay_pr8_triggeredrollback_reopen,100perc,7daysdelay,0.4,very strong (80%),34,6.91571082815934,7.11091234347197,1.56440071556262,12.9892665474052
20210528_IL_localeEMS_11_100perc_7daysdelay_pr8_triggeredrollback_reopen,100perc,7daysdelay,0.6,very strong (80%),94,16.2895367868153,17.0661896243278,6.30500894454398,22.7549194991074
20210528_IL_localeEMS_11_100perc_7daysdelay_pr8_triggeredrollback_reopen,100perc,7daysdelay,0.8,very strong (80%),97,25.9609390848901,26.5474060822885,18.9624329159216,31.4776386404302
20210528_IL_localeEMS_11_100perc_7daysdelay_pr8_triggeredrollback_reopen,100perc,7daysdelay,1,very strong (80%),92,32.4422493583265,32.2361359570686,27.0688729874776,36.4552772808601
20210528_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.2,weak (20%),1,7.58497316636973,7.58497316636973,7.58497316636973,7.58497316636973
20210528_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.4,weak (20%),17,33.295801325897,26.5474060822885,0.948121645798286,77.366726296958
20210528_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.6,weak (20%),34,31.176470588235,26.5474060822899,1.89624329159188,58.8309481216437
20210528_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,0.8,weak (20%),47,41.798043618924,39.8211091234369,11.6618962432894,72.2468694096616
20210528_IL_localeEMS_11_50perc_7daysdelay_pr2_triggeredrollback_reopen,50perc,7daysdelay,1,weak (20%),26,56.1579744048439,57.3613595706611,35.3175313059034,76.0867620751345
20210528_IL_localeEMS_11_50perc_7daysdelay_pr4_triggeredrollback_reopen,50perc,7daysdelay,0.6,moderate (40%),9,6.32081097197324,6.63685152057144,0.758497316635317,10.0500894454392
20210528_IL_localeEMS_11_50perc_7daysdelay_pr4_triggeredrollback_reopen,50perc,7daysdelay,0.8,moderate (40%),41,19.216807016013,18.014311270126,8.5330948121625,33.1842576028655
20210528_IL_localeEMS_11_50perc_7daysdelay_pr4_triggeredrollback_reopen,50perc,7daysdelay,1,moderate (40%),24,33.6583184257604,35.5545617173502,23.8452593917689,40.6270125223608
20210528_IL_localeEMS_11_50perc_7daysdelay_pr6_triggeredrollback_reopen,50perc,7daysdelay,0.6,strong (60%),4,2.84436493738796,2.84436493738796,2.03846153846038,3.65026833631554
20210528_IL_localeEMS_11_50perc_7daysdelay_pr6_triggeredrollback_reopen,50perc,7daysdelay,0.8,strong (60%),47,13.7780230655051,13.2737030411484,3.41323792486941,22.4704830053689
20210528_IL_localeEMS_11_50perc_7daysdelay_pr6_triggeredrollback_reopen,50perc,7daysdelay,1,strong (60%),26,26.5838722994361,27.0214669051863,21.0957066189643,31.05098389982
20210528_IL_localeEMS_11_50perc_7daysdelay_pr8_triggeredrollback_reopen,50perc,7daysdelay,0.6,very strong (80%),2,3.3184257602871,3.3184257602871,2.89177101967911,3.74508050089509
20210528_IL_localeEMS_11_50perc_7daysdelay_pr8_triggeredrollback_reopen,50perc,7daysdelay,0.8,very strong (80%),43,11.2672130465534,11.3774597495546,2.93917710197138,18.0143112701258
20210528_IL_localeEMS_11_50perc_7daysdelay_pr8_triggeredrollback_reopen,50perc,7daysdelay,1,very strong (80%),24,23.3870005963031,24.1771019677997,18.440966010734,26.5474060822932
