sample_num1,speciesS,initialAs,N_EMS_11,time_to_infectious,time_to_symptoms,time_to_hospitalization,time_to_critical,time_to_death,time_to_detection,time_to_detection_As,time_to_detection_Sym,time_to_detection_Sys,recovery_time_asymp,recovery_time_mild,recovery_time_hosp,recovery_time_crit,fraction_symptomatic,fraction_severe,fraction_critical,cfr,reduced_inf_of_det_cases,d_Sys,d_As,d_P,d_Sys_incr1,d_Sys_incr2,d_Sys_incr3,d_Sys_incr4,d_Sys_incr5,d_Sys_incr6,d_Sys_incr7,fraction_critical_incr1,fraction_critical_incr2,fraction_critical_incr3,ki_multiplier_3a_EMS_11,ki_multiplier_3b_EMS_11,ki_multiplier_3c_EMS_11,ki_multiplier_4_EMS_11,ki_multiplier_5_EMS_11,ki_multiplier_time_4_EMS_11,ki_multiplier_time_5_EMS_11,ki_multiplier_6_EMS_11,ki_multiplier_7_EMS_11,ki_multiplier_time_6_EMS_11,ki_multiplier_time_7_EMS_11,ki_multiplier_8_EMS_11,ki_multiplier_time_8_EMS_11,d_Sym_EMS_11,d_Sym_change1_EMS_11,d_Sym_change2_EMS_11,d_Sym_change3_EMS_11,d_Sym_change4_EMS_11,d_Sym_change5_EMS_11,reopening_multiplier_4_EMS_11,d_Sym_ct1_EMS_11,Ki_EMS_11,time_infection_import_EMS_11,trigger_EMS_11,d_Sym_ct1,change_testDelay_As_1,change_testDelay_Sym_1,reduced_inf_of_det_cases_ct1,trigger_delay_days,initialAs_EMS_11,speciesS_EMS_11,Ki,startdate,ki_multiplier_time_3a,ki_multiplier_time_3b,ki_multiplier_time_3c,socialDistance_rollback_time,gradual_reopening_time1,gradual_reopening_time2,gradual_reopening_time3,gradual_reopening_time4,today,detection_time_1,detection_time_2,detection_time_3,detection_time_4,detection_time_5,detection_time_6,detection_time_7,crit_time_1,crit_time_2,crit_time_3,d_Sym_change_time_1,d_Sym_change_time_2,d_Sym_change_time_3,d_Sym_change_time_4,d_Sym_change_time_5,contact_tracing_start_1,contact_tracing_stop1,change_testDelay_time1,cfr_time_1,cfr_time_2,fraction_dead,fraction_hospitalized,scen_num,capacity_multiplier,sample_num2,sample_num
0,12830632,10,2716921,3.771874163,3.460014838,4.340756455,5.334701765,4.659197374,2,2.623433105,7,2,7.652536396,9,4.18637023,8.904887145,0.54773085,0.085807967,0.337571525,0.011312646,0.014944811,0.008773957,0,0,0.076943967,0.096276548,0.241529636,0.362984495,0.473620587,0.684636531,0.828368231,0.152863649,0.091192399,0.080626155,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.003953583,0.028278426,0.067121243,0.175278086,0.122514865,0.2679013,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.131836783,0.530591692,10,1.0,10.0,10
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,11,0.0,0.0,11
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,12,0.1,1.0,12
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,13,0.2,2.0,13
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,14,0.3,3.0,14
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,15,0.4,4.0,15
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,16,0.5,5.0,16
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,17,0.6,6.0,17
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,18,0.7,7.0,18
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.068,0.25,1.143,58,516,0.17,2,2,0.675621658,7,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,19,0.8,8.0,19
