sample_num,capacity_multiplier
1,0
1,0.1
1,0.4
1,0.5
1,0.8
1,1
2,0.3
2,0.7
3,0.3
3,0.4
3,0.7
3,0.8
4,0.1
4,0.2
4,0.4
4,0.5
4,0.6
4,0.7
4,0.8
4,0.9
5,0.1
5,0.2
5,1
6,0
6,0.8
6,1
7,0
7,0.1
7,0.2
7,0.3
7,0.7
8,0.3
8,0.6
8,0.7
8,0.8
8,0.9
9,0.7
10,0.1
10,0.2
10,0.6
10,0.8
10,0.9
11,0.1
11,0.3
11,0.4
11,0.5
11,0.7
11,0.9
11,1
12,0
12,0.1
12,0.4
13,0
13,0.1
13,0.6
13,0.9
13,1
14,0.2
14,0.7
14,0.8
14,0.9
15,0
15,0.1
15,0.2
15,0.4
15,0.9
15,1
16,0.2
16,0.7
16,1
17,0
17,0.9
18,0
18,0.3
19,0.4
19,0.5
19,0.7
20,0
20,0.3
20,0.4
20,0.7
20,0.8
21,0.4
21,0.5
21,0.8
21,0.9
21,1
22,0.3
22,0.9
22,1
23,0
23,0.2
23,0.7
23,0.8
23,1
24,0.4
25,0
25,0.1
25,0.2
25,0.3
25,0.4
25,0.5
25,0.7
25,0.8
25,0.9
25,1
26,0
26,0.1
26,0.2
26,0.9
27,0.1
28,0
28,0.1
28,0.2
28,0.7
29,0
31,0.3
31,0.6
32,0.4
34,0.3
34,0.5
34,0.6
34,0.7
34,0.9
35,0
35,0.1
35,0.3
35,0.7
37,0
37,0.4
37,0.6
37,0.7
37,0.8
38,0
38,0.1
38,0.2
38,0.3
38,0.4
38,0.7
39,0.4
39,0.6
39,0.8
40,0
40,0.1
40,0.3
40,0.7
41,0.1
41,0.3
41,0.4
41,0.9
41,1
42,0
42,0.1
42,0.2
42,0.3
43,0
43,0.2
44,0.1
44,0.2
44,0.8
44,0.9
44,1
45,0
45,0.6
45,0.7
46,0
46,0.1
46,0.2
46,0.3
47,0.6
50,0.8
50,1
51,0
51,0.1
51,0.3
51,0.4
51,0.5
52,0
52,0.3
53,0.5
54,0.4
54,0.5
54,0.7
54,0.8
54,0.9
55,0
55,0.2
55,0.9
56,0
56,0.2
56,0.4
56,0.5
56,0.6
58,0.2
58,0.3
58,0.4
58,1
59,0.1
60,0.1
60,0.5
60,0.9
61,0.1
61,0.2
61,0.5
61,0.7
61,0.8
62,0.7
63,0.1
