sample_num,capacity_multiplier
63,0.3
64,0
64,0.5
64,0.6
64,0.9
65,0.1
66,0.8
67,0
67,0.1
67,0.3
68,0.2
69,0.4
69,0.5
69,0.6
69,0.8
69,0.9
70,0
70,1
71,0
72,1
73,0
74,0.7
76,0.2
76,0.3
76,0.4
77,0.1
79,0.1
79,0.7
80,0.6
81,0.7
82,0.3
82,0.6
82,0.7
82,0.8
82,0.9
83,0
83,0.4
83,0.5
83,0.7
84,0
84,0.1
84,0.3
85,0
85,0.1
85,0.4
85,0.6
85,0.7
85,0.8
85,1
86,0
86,0.1
86,0.2
86,0.3
86,0.4
86,0.5
86,0.9
87,0
87,0.1
87,0.6
87,0.7
87,0.8
88,0
88,0.1
88,0.7
88,0.9
89,0
89,0.1
89,0.2
89,0.3
89,0.4
89,0.5
89,0.8
89,0.9
90,0
90,0.2
90,0.3
90,0.5
90,0.8
91,0
91,0.2
91,0.3
92,0.3
92,0.9
93,0
93,0.2
93,0.4
93,0.9
94,0.5
94,0.9
95,0.8
96,0
96,0.1
96,0.9
97,0.5
97,0.6
97,0.8
97,0.9
98,0.1
98,0.5
99,0.1
100,0.5
100,0.9
101,0.1
101,0.3
101,0.4
101,0.6
102,0.4
102,0.6
102,0.7
102,1
103,0
103,0.1
103,0.3
103,0.4
103,0.5
103,0.6
103,0.8
104,0
104,0.4
104,0.7
104,0.8
105,0.7
105,0.9
106,0
106,0.2
106,0.3
106,0.4
106,0.5
106,0.7
107,0
107,0.2
107,0.3
108,0
108,0.4
108,0.6
108,0.8
109,0.1
109,0.3
109,0.4
109,0.5
110,0
110,0.1
110,0.4
110,0.7
110,0.8
110,0.9
111,0
111,0.1
112,0.8
113,0.6
113,0.8
114,0
114,0.2
114,0.3
114,0.4
114,0.5
114,0.6
114,0.8
114,0.9
114,1
115,0
115,0.6
115,0.7
115,0.8
115,1
116,0.1
116,0.5
116,0.6
117,0
117,0.1
117,0.7
117,0.8
117,0.9
118,0
119,0.3
119,0.4
119,0.5
119,0.6
119,0.7
119,1
120,0
120,0.1
120,0.2
121,0.5
121,0.6
121,0.7
122,0
122,0.4
122,0.7
122,0.8
123,0.3
124,0.7
124,1
125,0.5
125,0.9
126,0.5
128,0.7
128,0.8
128,1
129,0.4
129,0.5
129,0.8
130,0.3
130,0.4
130,0.5
130,1
131,0
131,0.1
131,0.2
131,0.5
131,0.9
132,0
132,0.2
132,0.5
132,0.7
132,0.9
133,0
133,0.2
133,0.5
133,1
134,0
134,0.1
134,0.4
134,0.8
134,0.9
135,0.3
135,0.5
136,0
136,0.1
137,0.3
137,0.5
138,0
138,0.1
138,0.5
139,0.3
140,0.5
140,0.6
140,0.7
140,0.8
142,0.4
142,0.5
142,0.9
142,1
143,0
143,0.1
143,0.3
144,0
144,0.1
144,0.5
144,0.8
144,0.9
145,0.1
145,0.6
147,0
147,1
148,0.1
148,0.4
148,0.5
148,0.7
149,0.5
149,0.6
149,0.8
149,1
150,0
150,0.4
150,0.7
150,0.9
151,0.4
151,0.6
151,0.9
152,0.4
152,0.5
152,0.6
152,0.9
152,1
153,0
153,0.1
154,0
155,0.2
155,0.5
156,0
156,0.1
156,0.2
156,0.7
156,0.8
156,0.9
157,0
157,0.9
158,0.1
158,0.2
158,0.5
158,0.8
159,0
159,0.1
159,0.2
159,0.3
159,0.4
159,0.5
159,0.6
159,0.8
159,0.9
160,0
160,0.1
160,0.2
160,0.3
160,0.4
160,0.7
161,0.8
163,0.4
163,0.7
164,0.1
164,0.2
166,0.3
166,0.6
167,0
167,0.4
167,0.6
167,0.8
168,0
168,0.4
168,0.5
168,0.6
169,0.4
169,0.5
169,0.6
170,0.4
170,0.6
171,0
171,0.2
171,0.3
171,0.4
171,0.5
171,0.6
171,0.8
172,0
173,0.2
173,0.3
173,0.5
173,0.6
173,0.7
174,0
174,0.2
174,0.4
174,0.5
175,0.1
176,0.7
176,0.8
176,0.9
176,1
177,0
177,0.1
177,0.2
177,0.5
177,0.6
177,1
178,0
178,0.1
179,0.7
180,0.5
180,0.7
180,0.9
181,0
181,0.7
182,0
182,0.3
182,0.7
182,0.8
183,0
183,0.1
183,0.2
183,0.4
183,0.5
183,0.7
184,0.1
184,0.3
184,0.6
184,1
185,0.2
185,0.4
185,0.6
186,0
186,0.3
186,0.6
186,0.7
186,0.9
187,0
187,0.3
187,0.5
187,1
188,0
188,0.1
191,0.9
191,1
192,0.4
192,0.7
192,0.8
193,0
193,0.6
194,0.1
194,0.2
194,0.8
194,0.9
195,0
195,0.2
195,0.5
195,0.6
196,0.2
196,0.5
196,0.6
196,0.8
197,0
197,0.1
197,0.2
197,0.6
197,0.8
198,0.1
198,0.2
198,0.3
198,0.4
198,0.7
198,0.8
200,0
200,1
201,0
201,0.1
201,0.4
201,0.7
201,0.8
201,1
202,0.3
202,0.6
203,0.3
203,0.6
203,0.7
203,0.9
204,0
204,0.6
204,0.7
205,0
205,0.2
205,0.3
205,0.6
205,0.9
205,1
206,0
206,0.1
206,0.3
206,0.8
207,0
207,0.1
207,0.4
207,0.5
207,0.6
207,0.7
208,0.2
208,0.5
208,0.6
208,1
209,0.5
209,0.6
210,0
210,0.1
211,0.9
214,0
214,0.3
214,0.6
214,0.8
215,0.9
216,0
216,0.1
216,0.2
216,0.3
216,0.5
217,0
217,0.2
217,0.4
217,0.5
217,0.7
217,0.8
218,0
218,0.2
219,0
222,0.1
222,0.3
222,0.5
222,0.6
222,0.7
222,0.9
223,0
223,0.2
223,0.6
223,0.8
224,0
224,0.3
224,0.5
224,0.6
224,0.8
224,0.9
224,1
225,0
225,0.1
225,0.4
225,0.8
225,1
226,0.1
226,0.2
226,0.3
226,0.4
226,0.5
226,0.6
226,0.7
227,0
227,0.3
227,0.6
227,0.7
227,1
228,0
229,0.6
230,0.3
230,0.6
230,0.8
231,0
231,0.1
231,0.3
231,0.4
231,0.7
231,0.8
231,1
232,0
232,0.7
233,0.1
233,0.2
236,0
236,0.2
236,0.3
236,0.4
236,0.5
236,0.6
236,0.7
236,0.9
236,1
237,0.6
237,0.7
237,0.9
238,0.9
240,0.1
241,0
241,0.2
241,0.3
242,0
242,0.2
242,0.6
242,0.7
243,0.4
244,0.3
244,0.7
244,0.8
244,0.9
245,0.1
246,0
249,0.1
249,0.3
249,0.4
249,0.5
249,0.6
249,0.8
249,1
250,0.4
252,0.3
252,0.4
253,0.2
253,0.5
253,0.8
254,0
254,0.1
254,0.3
254,0.4
254,0.7
254,0.9
255,0
255,0.2
255,0.5
255,0.6
255,0.7
255,0.9
256,0.5
256,0.7
256,1
257,0.1
257,0.6
257,0.8
257,0.9
257,1
258,0
258,0.5
258,0.7
258,0.8
259,0.5
260,0.6
261,0
261,0.5
261,0.6
262,0.1
262,0.3
262,0.4
262,0.5
262,0.7
263,0.2
263,0.6
263,0.7
264,0
264,0.1
264,0.5
264,0.7
264,0.8
264,0.9
265,0.1
265,0.7
266,0.4
266,0.6
266,1
267,0
267,0.2
267,0.4
267,0.5
267,0.6
268,0
268,0.5
268,1
269,0.4
269,0.7
269,0.8
270,0
270,0.1
270,0.4
270,0.5
271,0.1
271,0.8
272,0
273,0.2
273,0.3
273,0.4
273,0.6
274,1
275,0.1
275,0.6
276,0.9
276,1
277,0
277,0.1
277,0.3
277,0.6
277,0.7
277,0.8
277,0.9
277,1
278,0
278,0.1
278,0.3
278,0.6
278,0.8
278,0.9
278,1
279,0
279,0.2
280,0.4
280,0.5
280,0.7
280,1
281,0.6
281,0.7
282,0
282,0.5
282,0.6
282,0.7
283,0.1
283,0.2
283,0.3
283,0.5
283,0.8
283,0.9
284,0.5
284,0.7
285,0.1
285,0.6
285,0.7
287,0
287,0.2
287,0.5
287,0.7
288,0.1
288,0.3
288,0.4
288,0.5
288,1
289,0
289,0.1
289,0.9
290,0
290,0.1
290,0.2
290,0.3
290,0.8
290,0.9
291,0.4
291,0.8
291,0.9
291,1
292,0
292,0.8
292,0.9
292,1
293,0.1
293,0.3
293,0.5
293,0.7
293,0.9
294,0.2
294,0.4
294,0.5
294,0.6
294,0.8
294,0.9
294,1
295,0
295,0.3
295,0.5
295,0.7
295,0.8
295,0.9
295,1
296,0.1
296,0.4
296,0.5
296,0.6
296,0.9
297,0
297,0.4
297,0.9
298,0
298,0.1
298,0.3
298,0.6
298,0.7
298,1
299,0.5
299,0.6
299,0.7
299,0.8
299,0.9
299,1
300,0
300,0.2
300,0.4
301,0.4
301,0.5
302,0.1
302,0.2
302,0.4
304,0.8
304,1
305,0.1
305,0.6
305,0.7
305,1
307,0.7
308,0.2
308,0.3
309,0.4
310,0
310,0.1
310,0.2
310,0.4
311,0.6
311,0.8
311,0.9
312,0
312,0.5
312,0.6
312,0.7
313,0.2
313,0.5
313,0.8
314,0
314,0.1
314,0.5
315,0
315,0.1
315,0.2
315,0.4
315,0.9
316,0
316,0.5
316,0.9
317,0
317,0.1
317,0.3
317,0.5
318,0.8
318,0.9
318,1
320,0.4
320,0.6
321,0.8
321,1
322,0.2
322,0.3
322,0.4
322,0.9
322,1
323,0.1
324,0.1
324,0.5
324,0.6
325,0
325,0.1
325,0.2
326,0
326,0.1
326,0.3
326,0.4
326,0.5
327,0.1
327,0.2
327,0.3
327,0.5
327,0.7
327,1
328,0
328,0.1
328,0.4
328,1
329,0.6
329,0.7
329,0.8
329,0.9
330,0
330,0.1
330,0.4
330,0.6
330,0.9
330,1
331,0
331,0.9
332,0.4
332,0.7
333,0.4
333,0.5
334,0
334,0.1
334,0.3
334,0.8
335,0.4
335,0.5
335,1
336,0
336,0.3
336,0.4
336,0.7
337,0.1
337,0.7
337,0.9
337,1
338,0.6
338,0.7
339,0
339,0.3
339,0.5
339,0.6
339,0.7
339,0.8
340,0
340,0.1
340,0.2
340,0.9
340,1
341,0
341,0.2
341,0.3
341,0.4
341,0.5
341,0.6
342,0
342,0.1
342,0.4
342,0.6
342,0.7
342,1
343,0.1
343,0.9
344,0
344,0.1
344,0.5
344,0.6
344,0.8
344,1
345,0
345,0.3
345,0.6
345,0.7
345,0.8
345,0.9
346,0
346,0.5
346,0.7
346,0.8
346,0.9
347,0
347,0.2
347,0.3
347,0.4
347,0.5
347,0.6
347,0.9
349,0.1
349,0.3
349,0.5
349,0.6
349,0.8
350,0.3
350,0.8
350,0.9
351,0.2
351,0.8
352,0.2
352,0.3
352,0.7
354,0
354,0.1
355,0.3
355,0.4
355,0.7
356,0.4
356,0.7
357,0
357,0.1
357,0.4
357,0.6
357,0.8
357,0.9
358,0
358,0.3
358,0.4
358,0.5
359,0.6
359,0.7
359,0.8
360,0.3
360,0.6
360,0.7
360,0.8
361,0
361,0.2
361,0.3
361,0.4
361,0.6
362,0.1
362,0.2
362,0.6
362,0.7
362,0.8
363,0.1
363,0.3
364,0
364,0.2
364,1
365,0.3
366,0
367,0.8
368,0.3
368,0.5
368,1
369,0.4
369,1
370,0
370,0.1
370,0.8
370,0.9
371,0.1
371,0.6
371,0.9
372,0
373,0.2
373,0.4
373,0.6
373,0.7
374,0
375,0.1
375,0.3
375,0.5
375,0.6
375,0.8
376,0.1
376,0.2
376,0.4
376,0.6
376,0.8
376,1
377,0
377,0.6
377,0.7
377,0.8
377,0.9
378,0.1
378,0.2
378,0.5
378,0.6
378,0.8
378,0.9
379,0.2
379,0.5
380,0.1
380,0.5
380,0.6
380,0.7
381,0.5
381,0.6
382,0.4
382,0.6
382,0.7
384,0.5
384,0.6
385,0.3
387,1
388,0
388,0.2
388,0.4
388,0.5
388,0.6
388,0.7
388,0.8
388,0.9
389,0.2
389,0.3
390,0.1
390,0.3
390,0.4
390,0.5
391,0.6
391,0.7
392,0.6
393,0.7
394,0
394,0.3
394,0.8
395,0
395,0.4
395,0.5
396,0
396,0.7
396,0.9
397,0
397,0.1
397,0.3
397,0.6
397,0.7
398,0
398,0.7
398,0.8
399,0
399,0.6
