reopen,mitigation,delay,capacity_multiplier,n,rel_occupancy_peak_lower,rel_occupancy_peak_median,rel_occupancy_peak_upper,time_to_peak_after_reopen_lower,time_to_peak_after_reopen_median,time_to_peak_after_reopen_upper,time_to_peak_after_trigger_lower,time_to_peak_after_trigger_median,time_to_peak_after_trigger_upper,time_to_trigger_after_reopen_lower,time_to_trigger_after_reopen_median,time_to_trigger_after_reopen_upper
,,,0.8,5355,1.10077519379845,1.27131782945736,1.55426356589147,109.649373881933,115.338103756709,120.078711985692,6,10,12,99.1162790697675,105.753130590339,110.493738819322
,,,0.4,6120,0.633720930232558,0.809108527131783,1.17441860465116,103.960644007154,114.38998211091,120.078711985692,15,35,56,64.035778175311,79.2057245080504,99.1162790697675
,,,0.6,5355,0.887596899224806,1.0484496124031,1.23837209302326,100.168157423969,114.38998211091,120.078711985692,13,22,37,78.2576028622521,89.6350626118067,102.908765652952
,,,0.8,3315,1.05038759689922,1.21511627906977,1.50387596899225,109.649373881933,116.286225402507,119.130590339894,11,17,27,89.6350626118067,98.1681574239692,108.597495527728
,,,1,1785,1.27325581395349,1.4922480620155,1.6531007751938,113.441860465115,116.286225402507,119.130590339894,9,17,23,94.3756708407844,99.1162790697675,108.597495527728
,,,0.4,16575,0.560077519379845,0.64922480620155,0.800387596899225,84.050089445437,100.168157423969,116.286225402507,10,15,21,66.8801431127003,82.9982110912353,101.012522361361
,,,0.6,10455,0.810077519379845,0.910852713178295,1.06589147286822,94.4794275491961,106.805008944543,119.130590339894,9,15,22,78.2576028622521,92.4794275491961,104.805008944543
,,,0.8,6630,1.0406976744186,1.18701550387597,1.4515503875969,104.908765652952,114.86404293381,119.130590339894,9,14,18,92.4794275491961,99.5903398926653,108.597495527728
,,,1,3060,1.23643410852713,1.46027131782946,1.56976744186047,103.960644007154,113.441860465116,118.182468694095,8,13,17,94.3756708407844,100.538461538462,108.597495527728
,,,0.4,19380,0.536821705426357,0.622093023255814,0.761627906976744,81.2057245080504,95.901610017888,116.286225402507,8,12,18,66.8801431127003,82.9982110912353,102.908765652952
,,,0.6,13515,0.777131782945737,0.881782945736434,1.04651162790698,90.6869409660112,103.012522361361,117.2343470483,7,11,14,78.2576028622521,93.4275491949916,106.701252236137
,,,0.8,8925,1.03875968992248|0.951550387596899,1.14147286821705|1.12790697674419,1.36434108527132|1.31976744186047,103.960644007154|103.960644007154,112.493738819322|111.545617173524,120.078711985692|120.078711985692,6|7,11|10,15|13,92.4794275491961|92.4794275491961,101.012522361361|101.012522361361,110.493738819322|110.493738819322
,,,1,4335,1.21124031007752|1.26162790697674,1.40116279069767|1.38565891472868,1.55038759689923|1.52519379844961,103.960644007154|101.116279069768,114.38998211091|114.38998211091,120.078711985692|120.078711985692,6|4,11|10,13|13,94.3756708407844|94.3756708407844,102.908765652952|103.856887298748,109.545617173524|111.441860465115
,,,0.6,13005,0.75968992248062,0.87015503875969,0.996124031007752,89.7388193202129,103.012522361361,120.078711985692,7,10,13,80.1538461538487,93.4275491949916,106.701252236137
